sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_833_AD002,Mus_musculus,Deep,0.77011,0.02761,4.34,Inhibitory,mSst-1
Pool_833_AD006,Mus_musculus,Deep,0.75685,0.02793,5.62,Inhibitory,mPv
Pool_834_AD002,Mus_musculus,Deep,0.762,0.03079,4.6,Excitatory,mL6-2
Pool_834_AD006,Mus_musculus,Deep,0.72959,0.02571,4.87,Excitatory,mDL-2
Pool_835_AD002,Mus_musculus,Deep,0.74959,0.02587,4.14,Excitatory,mL6-2
Pool_835_AD006,Mus_musculus,Deep,0.73826,0.02488,5.42,Excitatory,mDL-2
Pool_836_AD002,Mus_musculus,Deep,0.69591,0.01599,7.21,Excitatory,mL6-2
Pool_836_AD006,Mus_musculus,Deep,0.76396,0.02941,4.98,Excitatory,mL6-2
Pool_837_AD002,Mus_musculus,Deep,0.73441,0.02456,3.17,Excitatory,mDL-2
Pool_837_AD006,Mus_musculus,Deep,0.74275,0.02244,6,Excitatory,mL6-2
Pool_838_AD002,Mus_musculus,Deep,0.7606,0.03143,3.74,Inhibitory,mSst-1
Pool_838_AD006,Mus_musculus,Deep,0.71943,0.01875,5.31,Excitatory,mL6-2
Pool_839_AD002,Mus_musculus,Deep,0.71905,0.02467,3.83,Excitatory,mL6-2
Pool_839_AD006,Mus_musculus,Deep,0.7663,0.02583,5.87,Inhibitory,mPv
Pool_83_AD002,Mus_musculus,Superficial,0.71477,0.02125,5.35,Excitatory,mL2/3
Pool_83_AD006,Mus_musculus,Superficial,0.73154,0.01751,5.28,Excitatory,mL4
Pool_840_AD002,Mus_musculus,Deep,0.72021,0.02609,3.26,Excitatory,mL6-2
Pool_840_AD006,Mus_musculus,Deep,0.75009,0.02374,3.99,Excitatory,mL2/3
Pool_841_AD008,Mus_musculus,Deep,0.73285,0.02049,2.31,Excitatory,mL6-2
Pool_841_AD010,Mus_musculus,Deep,0.73944,0.0266,2.51,Excitatory,mDL-3
Pool_842_AD008,Mus_musculus,Deep,0.76478,0.03163,3.53,Inhibitory,mSst-1
Pool_842_AD010,Mus_musculus,Deep,0.72814,0.02143,3.19,Excitatory,mL6-2
Pool_843_AD008,Mus_musculus,Deep,0.75677,0.02597,2.65,Excitatory,mDL-1
Pool_843_AD010,Mus_musculus,Deep,0.76224,0.02715,2.16,Excitatory,mL6-1
Pool_844_AD008,Mus_musculus,Deep,0.74449,0.02783,4.85,Excitatory,mL6-2
Pool_844_AD010,Mus_musculus,Deep,0.73007,0.02997,5.86,Excitatory,mL5-2
Pool_845_AD008,Mus_musculus,Deep,0.7564,0.02416,5.46,Inhibitory,mVip
Pool_845_AD010,Mus_musculus,Deep,0.71733,0.02184,5.37,Excitatory,mL6-2
Pool_846_AD008,Mus_musculus,Deep,0.75944,0.03027,2.92,Inhibitory,mPv
Pool_846_AD010,Mus_musculus,Deep,0.74212,0.02719,4.1,Excitatory,mL6-2
Pool_847_AD008,Mus_musculus,Deep,0.75718,0.0281,4.6,Excitatory,mL6-2
Pool_847_AD010,Mus_musculus,Deep,0.76134,0.02947,6.04,Excitatory,mL6-2
Pool_848_AD008,Mus_musculus,Deep,0.76783,0.0327,5.73,Inhibitory,mVip
Pool_848_AD010,Mus_musculus,Deep,0.72552,0.02262,7.34,Excitatory,mL4
Pool_849_AD010,Mus_musculus,Deep,0.74478,0.02597,4.14,Excitatory,mL6-2
Pool_84_AD002,Mus_musculus,Superficial,0.71748,0.0201,4.65,Excitatory,mL2/3
Pool_84_AD006,Mus_musculus,Superficial,0.73056,0.02452,4.91,Excitatory,mL2/3
Pool_850_AD008,Mus_musculus,Deep,0.71459,0.01942,4.82,Excitatory,mL6-2
Pool_850_AD010,Mus_musculus,Deep,0.73694,0.02659,5.8,Excitatory,mDL-2
Pool_851_AD008,Mus_musculus,Deep,0.71615,0.01975,4.11,Excitatory,mL6-2
Pool_851_AD010,Mus_musculus,Deep,0.72097,0.02084,6,Excitatory,mL6-2
Pool_852_AD008,Mus_musculus,Deep,0.75407,0.0306,7.26,Excitatory,mL6-2
Pool_852_AD010,Mus_musculus,Deep,0.72634,0.02555,6.39,Excitatory,mDL-3
Pool_853_AD008,Mus_musculus,Deep,0.78509,0.03012,6.09,Excitatory,mL6-1
Pool_853_AD010,Mus_musculus,Deep,0.73253,0.02305,7.76,Excitatory,mDL-2
Pool_854_AD008,Mus_musculus,Deep,0.74299,0.02596,8.72,Excitatory,mDL-2
Pool_854_AD010,Mus_musculus,Deep,0.7227,0.02519,6.98,Excitatory,mL5-1
